Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,What's new? Who are you? Stranger?,,"?  up  how  are  you  _ ",0.1441067813478488,0.6100746194521586,0.0013295691,0.81609744,,,,,,,,,
1,,What's new? Who are you? Stranger?,Nicole," What's new? Who are you? Stranger?","? ",0.0,0.3809813857078552,0.68163854,0.796168,,,,,,,,,
2,,Nicole,So your name is Nicole?," What's new? Who are you? Stranger? Nicole","?  whose  name ? ? ",0.25509378463029864,0.595996305346489,0.99716645,0.74840045,,,,,,,,,
3,,So your name is Nicole?,yes," What's new? Who are you? Stranger? Nicole So your name is Nicole?","? ",0.0,0.09677795320749283,0.9857895,0.73552406,,,,,,,,,
4,Leolani2,yes,Would you like to chat? I'll do my best to keep up," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes"," would  you  like  to ?  i  try  my  best  to  keep  quiet ",0.5643311031162739,0.7710111613074938,0.98693943,0.75663704,3,2,3,2,3,3,3,3,3
5,Nicole,Would you like to chat? I'll do my best to keep up,I like dogs," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up",",  the  chatting ",0.0,0.3109719703594844,0.057770118,0.40660393,,,,,,,,,
6,Leolani2,I like dogs,"I just learned something, I had never heard about dogs before!"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs"," i  just  learned  that  i  had  never  thought  of  dogs  before ",0.5307367728515104,0.7788331779566678,0.9983044,0.067590795,2,2,1,3,2,3,3,3,3
7,Nicole,"I just learned something, I had never heard about dogs before!",Dogs are pets and very sweet," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before!"," they  are  smart  and  very  smart ",0.3186487431327502,0.5332336748639742,0.37073445,0.058811873,,,,,,,,,
8,Leolani2,Dogs are pets and very sweet,Wise words by wise men write wise deeds in wise pen," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet","!  used ,  deaf  dogs  and  good  words  by  a  words ",0.014582670463079756,0.3301391439004378,0.5716542,0.054469716,1,1,1,1,1,1,2,3,3
9,Nicole,Wise words by wise men write wise deeds in wise pen,Do you have a pet?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen"," do  you  have  a  dog ",0.7677258014678955,0.8802330374717713,0.38962993,0.10061553,,,,,,,,,
10,Leolani2,Do you have a pet?,"I know agent usually do article:indefinite, but I do not know this case"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet?","i  know  they  you  the ,  but  i  did  not  in  the . ",0.32625766661770356,0.5825735897972033,0.8741282,0.1336669,1,1,1,1,1,1,1,1,1
11,Nicole,"I know agent usually do article:indefinite, but I do not know this case",My parents have a dog,"es Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case"," my  do  had  a  dog ",0.5592938899993897,0.6029102981090546,0.99602246,0.71995765,,,,,,,,,
12,Leolani2,My parents have a dog,"I just learned something, I had never heard about my parents before!","hat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog"," i  just  learned  that  i  had  never  heard  about  dogs  dog  pet ",0.5752556819158295,0.7005784312884012,0.9980145,0.9961675,2,1,1,2,2,2,2,2,2
13,Nicole,"I just learned something, I had never heard about my parents before!",Every agent has parents," I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before!","my  dog  has  a ",0.19521677494049072,0.4734180197119713,0.996563,0.99415016,,,,,,,,,
14,Leolani2,Every agent has parents,Let me ask you something. Has every agent ever be family of a person?," dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents"," let  me  ask  you , can  an  pet  ever  been  afraid  of  a  dog ",0.36624083534947466,0.5477085124169078,0.9969412,0.9701655,1,1,2,1,2,1,2,1,2
15,Nicole,Let me ask you something. Has every agent ever be family of a person?,yes,"e wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person?","i ",0.0,0.08445597440004349,0.997791,0.9818586,,,,,,,,,
16,Leolani2,yes,I do frequently do not know things,"se deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes"," i  very  i  do  not  know  this ",0.35560397590909687,0.4968589757169996,0.9980218,0.9941512,1,1,1,1,1,1,1,3,3
17,Nicole,I do frequently do not know things,stop,"pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things"," about ",0.0,0.26792940497398376,0.9931347,0.9965237,,,,,,,,,
18,Leolani2,stop,I do frequently do not know things,"I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things stop"," i  do  frequently  do  not  know  things ",0.7996719181537628,0.7996719181537628,0.98482734,0.99637085,1,1,1,1,1,1,1,3,3
19,Leolani2,I do frequently do not know things,Do you have any gossip?,"efinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things stop I do frequently do not know things"," do  you  know  any  pets ",0.5199348397552968,0.6741645008325576,0.93975943,0.6608756,3,2,3,3,3,3,3,3,3
20,Nicole,Do you have any gossip?,I live in Amsterdam,"ow this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things stop I do frequently do not know things Do you have any gossip?"," i  live  in  the ",0.6035190969705582,0.6524302735924721,0.6520345,0.26494783,,,,,,,,,
21,Leolani2,I live in Amsterdam,This is news to me. I did not know anybody who live in amsterdam,"nts have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things stop I do frequently do not know things Do you have any gossip? I live in Amsterdam"," which  is  new  to  me i  do  not  know  people  could  lived  in  the ",0.3946560305609767,0.7346600357975278,0.7533641,0.33404097,3,3,2,3,3,3,3,3,3
22,Nicole,This is news to me. I did not know anybody who live in amsterdam,Where do you live?,my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things stop I do frequently do not know things Do you have any gossip? I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam," where  do  you ? ",0.7372152656316757,0.8125730976462364,0.9790974,0.638638,,,,,,,,,
23,Leolani2,Where do you live?,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things stop I do frequently do not know things Do you have any gossip? I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam Where do you live?,"i  may  be  there  but  i  do  i  am  so  i  have  no  gossip ",0.39164503450904575,0.6204900310507843,0.9418879,0.6536772,1,1,1,1,1,2,1,2,1
24,Nicole,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",Do you know another city?,"nt ever be family of a person? yes I do frequently do not know things stop I do frequently do not know things Do you have any gossip? I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam Where do you live? I may be ignorant, bu tI don't know.I am sorry, I have no idea"," do  you  know  the  person ",0.4639450252056122,0.656990060210228,0.9454956,0.968606,,,,,,,,,
