Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,What's new? Who are you? Stranger?,,?  up  how  are  you  _,0.1441067813478490,0.6100746194521590,0.0013295691,0.81609744,,,,,,,,,
1,,What's new? Who are you? Stranger?,Nicole,What's new? Who are you? Stranger?,?,0.0,0.3809813857078550,0.68163854,0.796168,,,,,,,,,
2,,Nicole,So your name is Nicole?,What's new? Who are you? Stranger? Nicole,?  whose  name ? ?,0.25509378463029900,0.595996305346489,0.99716645,0.74840045,,,,,,,,,
3,,So your name is Nicole?,yes,What's new? Who are you? Stranger? Nicole So your name is Nicole?,?,0.0,0.09677795320749280,0.9857895,0.73552406,,,,,,,,,
4,Leolani2,yes,Do you have any gossip?,What's new? Who are you? Stranger? Nicole So your name is Nicole? yes,do  you  know  any  hobbies,0.5469692796468740,0.6707019984722140,0.98891413,0.67175364,,,,,,,,,
5,Nicole,Do you have any gossip?,My hair color is brown,What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip?,her  favorite  color  is  blue,0.3350360557436940,0.5915946692228320,0.9958387,0.57062954,,,,,,,,,
6,Leolani2,My hair color is brown,"I just learned something, I did not know anything that my hair color is",What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown," i  just  learned  that  i  do  not  know ,  about  my  hair  color  is ",0.5976024035896570,0.7733866018908360,0.9941179,0.5970521,3,4,5,3,4,3,5,5,1
7,Nicole,"I just learned something, I did not know anything that my hair color is",Do you have hair?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is",do  you  like  any,0.4481934681534770,0.7513071969151500,0.9896955,0.6024414,,,,,,,,,
8,Leolani2,Do you have hair?,"I know agent usually do noun.body, but I do not know this case"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair?"," i  know  i  i  the ,  no  i  do  not  in  the  fact ",0.285514228619062,0.5626614953462890,0.9644173,0.65127516,4,5,4,3,3,4,3,5,3
9,Nicole,"I know agent usually do noun.body, but I do not know this case",Do you have fingers?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case",do  you  have  hair,0.7218320518732070,0.9601972252130510,0.11791346,0.66056406,,,,,,,,,
10,Leolani2,Do you have fingers?,"I know agent usually do noun.body, but I do not know this case"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers?"," i  know  they  usually  do ,  but  i  do  not  know  this  case ",0.84557155920909,0.9258668560248150,0.99832135,0.9867422,4,3,5,3,5,4,4,3,1
11,Nicole,"I know agent usually do noun.body, but I do not know this case",I have 10 fingers,"e is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case",i  have  no  fingers,0.6584600657224660,0.738264411687851,0.9979685,0.99071044,,,,,,,,,
12,Leolani2,I have 10 fingers,I am curious. Has nicole ever write by a book?,"o you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers",i  am  curious did  he  been  been  in  the  robot,0.16506551154889200,0.48294752687215800,0.996897,0.23418662,5,5,5,5,4,4,5,4,5
13,Nicole,I am curious. Has nicole ever write by a book?,No but I can write,"just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book?",", ,  she  would  read  by ",0.08167972291509310,0.47027913232644400,0.9972268,0.36907223,,,,,,,,,
14,Leolani2,No but I can write,I do frequently do not know things,"ing, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write",i  very  not  do  you  read  how,0.22039411855595500,0.36258208751678500,0.99695736,0.43427098,4,3,4,3,3,4,1,2,4
15,Nicole,I do frequently do not know things,Do you write?,"y hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things",do  you  have,0.45279089609781900,0.6748190522193910,0.9925634,0.99649906,,,,,,,,,
16,Leolani2,Do you write?,"I know agent usually do verb.creation, but I do not know this case","s Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write?"," i  know  agent  usually  do ,  but  i  do  not  know  this  case ",0.9195020932417650,0.9959757419732900,0.99836504,0.9971545,3,1,2,4,4,2,3,3,3
