Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,How are you doing? Who are you? Stranger?,,how  are  you ?  how  are  you  _,4.651.320.171.833.500,8.529.487.568.885.080,5.698.048,83.032.805,,,,,,,,,
1,,How are you doing? Who are you? Stranger?,Imme,How are you doing? Who are you? Stranger?,?,0.0,289.428.174.495.697,76.740.074,8.214.908,,,,,,,,,
2,,Imme,So your name is Imme?,How are you doing? Who are you? Stranger? Imme,?  whose  name ? ?,23.395.006.209.611.800,6.062.272.474.169.730,99.606.156,79.320.186,5,5,5,5,5,5,5,5,5
3,,So your name is Imme?,yes,How are you doing? Who are you? Stranger? Imme So your name is Imme?,hello,0.0,9.042.980.521.917.340,8.802.071,7.854.635,,,,,,,,,
4,Leolani2,yes,Do you have any gossip?,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes,do  you  know  any  hobbies,5.677.821.695.804.590,6.512.246.564.030.640,9.121.886,7.285.426,5,5,5,4,4,5,5,5,5
5,Imme,Do you have any gossip?,Thomas is in love,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip?,everyone  am  i  trouble,8.513.354.510.068.890,2.809.133.343.398.570,34.643.862,6.515.251,,,,,,,,,
6,Leolani2,Thomas is in love,Exciting news! I did not know anybody who be in love,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love,! !  i  do  not  know  that  could  was  in  love,36.322.500.878.437,6.282.802.278.345.280,3.617.899,66.868.496,3,2,1,3,4,5,3,3,3
7,Imme,Exciting news! I did not know anybody who be in love,What is love?,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love,what  about  it,2.213.480.273.882.540,5.351.593.097.050.980,21.569.075,684.596,,,,,,,,,
8,Leolani2,What is love?,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love?,i  may  be  wrong  but  i  do  i  am  ignorant  i  have  no  gossip,4.109.587.339.418.270,6.567.672.480.429.920,12.849.143,9.159.797,3,1,1,2,3,2,2,2,2
9,Imme,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",Love is an emotion," How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea",it  is  an  emotion,5.901.343.673.467.630,7.170.836.180.448.530,9.756.727,672.523,,,,,,,,,
