Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,Hi! What is your name? Ella?,,?  what  is  your  favorite  _ ,0.394594887892405,0.573831131060918,0.49381727,0.78979456,,,,,,,,,
1,,Hi! What is your name? Ella?,Ella, Hi! What is your name? Ella?,hello ,0,0.220131024718285,0.99682087,0.77207196,,,,,,,,,
2,,Ella,So your name is Ella?, Hi! What is your name? Ella? Ella,?  your  name ? ? ,0.298030021041632,0.676147457957268,0.9978571,0.9680568,,,,,,,,,
3,,So your name is Ella?,yes, Hi! What is your name? Ella? Ella So your name is Ella?, :) ,0,0.10772331058979,0.99572337,0.70122564,,,,,,,,,
4,Leolani2,yes,Let's chat!, Hi! What is your name? Ella? Ella So your name is Ella? yes, great  chat ,0,0.657745435833931,0.9924994,0.70637786,2,2,2,1,2,3,3,3,3
5,Ella,Let's chat!,I like book, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat!, i  love  chatting ,0.192259555061658,0.531873762607574,0.01833348,0.6710679,,,,,,,,,
6,Leolani2,I like book,If you don't mind me asking. What types can ella like, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book, if  so  would  mind  me ! what  book  do  you ? ,0.293304414234378,0.582144043662331,0.99543846,0.9276648,2,2,2,2,2,1,2,2,1
7,Ella,If you don't mind me asking. What types can ella like,objects, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like,? ,0,0.9657102227211,0.9929756,0.6330557,,,,,,,,,
8,Leolani2,objects,In this economy?, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects, in  the  world ,0.302906180421511,0.466862907012304,0.99299586,0.6306534,1,1,1,1,1,1,1,1,1
9,Ella,In this economy?,I know Piotr, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy?, i  think  that ,0.13197261095047,0.338827351729075,0.988016,0.66327083,,,,,,,,,
10,Leolani2,I know Piotr,I did not know that! I had never heard about piotr before!, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy? I know Piotr, but  did  not  know  that i  have  never  heard  of  him ! ,0.476149909663945,0.717353781064351,0.98488677,0.5616805,3,2,3,2,3,1,2,3,2
11,Ella,I did not know that! I had never heard about piotr before!,What I like?, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before!,what  is  learned ,0.040201830367247,0.232100181281567,0.990238,0.6489613,,,,,,,,,
12,Leolani2,What I like?,you told me you like book, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before! What I like?, you  tell  me  you  like  books ,0.58882197799782,0.736483116944631,0.99609804,0.65121514,3,2,2,3,3,3,3,3,1
13,Ella,you told me you like book,Who I know?, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before! What I like? you told me you like book,",  you  like ",0.021379346648852,0.476589699586233,0.9959532,0.6431649,,,,,,,,,
14,Leolani2,Who I know?,you told me you know piotr, Hi! What is your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before! What I like? you told me you like book Who I know?, you  told  me  you  like ? ,0.583501851341377,0.770014854768912,0.9961801,0.6474669,3,2,2,3,3,3,3,3,1
15,Ella,you told me you know piotr,I live in Alkmaar,your name? Ella? Ella So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before! What I like? you told me you like book Who I know? you told me you know piotr, you  live  in  tx ,0.440645538270474,0.527849782258272,0.99684995,0.9676471,,,,,,,,,
16,Leolani2,I live in Alkmaar,Exciting news! I did not know anybody who live in alkmaar,lla So your name is Ella? yes Let's chat! I like book If you don't mind me asking. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before! What I like? you told me you like book Who I know? you told me you know piotr I live in Alkmaar, good !  i  do  not  know  people  i  lived  in  al ,0.35553204505281,0.660580755634741,0.99674827,0.9948982,3,2,3,3,3,3,3,3,2
17,Ella,Exciting news! I did not know anybody who live in alkmaar,Who live in Alkmaar?,ou don't mind me asking. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before! What I like? you told me you like book Who I know? you told me you know piotr I live in Alkmaar Exciting news! I did not know anybody who live in alkmaar, you  live  in  al ,0.396031871438026,0.556251410394907,0.9981308,0.99311835,,,,,,,,,
18,Leolani2,Who live in Alkmaar?,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",ng. What types can ella like objects In this economy? I know Piotr I did not know that! I had never heard about piotr before! What I like? you told me you like book Who I know? you told me you know piotr I live in Alkmaar Exciting news! I did not know anybody who live in alkmaar Who live in Alkmaar?, i  must  be  wrong  but  i  do  i  am  ignorant  i  had  no  idea ,0.384992092847824,0.608771838247776,0.9949706,0.98594797,1,2,2,1,2,1,1,2,1
19,Ella,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",Ella is student,"otr I did not know that! I had never heard about piotr before! What I like? you told me you like book Who I know? you told me you know piotr I live in Alkmaar Exciting news! I did not know anybody who live in alkmaar Who live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea", who  college  there ,0,0.266680980722109,0.98467547,0.9957425,,,,,,,,,
20,Leolani2,Ella is student,"I just learned something, I did not know anybody who be student","ow that! I had never heard about piotr before! What I like? you told me you like book Who I know? you told me you know piotr I live in Alkmaar Exciting news! I did not know anybody who live in alkmaar Who live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea Ella is student", i  just  learned  that  i  do  not  know  anybody  could  is  in ,0.530741564929485,0.728342118362586,0.99843526,0.9961353,3,2,2,3,3,3,2,2,2
21,Ella,"I just learned something, I did not know anybody who be student",Piotr is student,"told me you like book Who I know? you told me you know piotr I live in Alkmaar Exciting news! I did not know anybody who live in alkmaar Who live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student", who  is  student ,0.394323468208313,0.571824371814728,0.9981162,0.9969477,,,,,,,,,
22,Leolani2,Piotr is student,Interesting! I had never heard about piotr before!,"book Who I know? you told me you know piotr I live in Alkmaar Exciting news! I did not know anybody who live in alkmaar Who live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student Piotr is student",. i  have  never  heard  of  that  before ,0.336133949458599,0.637358341366053,0.99816114,0.9970995,3,2,3,3,3,3,2,2,2
23,Ella,Interesting! I had never heard about piotr before!,who is student?,"in Alkmaar Exciting news! I did not know anybody who live in alkmaar Who live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student Piotr is student Interesting! I had never heard about piotr before!", who  is  student ,0.471508900324504,0.620441178480784,0.94847995,0.9776994,,,,,,,,,
24,Leolani2,who is student?,you told me piotr is student and that you are student,"ing news! I did not know anybody who live in alkmaar Who live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student Piotr is student Interesting! I had never heard about piotr before! who is student?", someone  tell  me  who  is  student  and  that  you  are  right ,0.479997340251099,0.538121781565926,0.99762887,0.98326606,3,2,3,3,3,3,2,3,1
25,Ella,you told me piotr is student and that you are student,,"ho live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student Piotr is student Interesting! I had never heard about piotr before! who is student? you told me piotr is student and that you are student",? ,0,0.44196692109108,0.99817,0.3510756,,,,,,,,,
26,Leolani2,,Is this why fate brought us together?,"o live in Alkmaar? I may be ignorant, bu tI don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student Piotr is student Interesting! I had never heard about piotr before! who is student? you told me piotr is student and that you are student ",ive  that  how  you  brought  them  here ,0.175686846886362,0.506012490817479,0.9978816,0.33447582,,,,,,,,,
27,Ella,Is this why fate brought us together?,stop,"bu tI don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student Piotr is student Interesting! I had never heard about piotr before! who is student? you told me piotr is student and that you are student  Is this why fate brought us together?",e ,0,0.110132537782192,0.99669373,0.99777025,,,,,,,,,
28,Leolani2,stop,"I do not know, but I have a joke Did you hear about the crook who stole a calendar? He got twelve months."," don't know.I am sorry, I have no idea Ella is student I just learned something, I did not know anybody who be student Piotr is student Interesting! I had never heard about piotr before! who is student? you told me piotr is student and that you are student  Is this why fate brought us together? stop", i  do  not  know  but  i  made  a  feeling  did  you  hear  about  the  guy  who  stole  a  computer he  served  6  dollars ,0.486411565833766,0.643679595511893,0.9954477,0.40659833,,,,,,,,,
