Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Anonymous,,"Tell me anything, I love learning things",," tell  me  why  i  like  little , ",0.31539829447865486,0.4182702121990068,,,,,,,,,
1,BLENDERBOT,"Tell me anything, I love learning things",Well," Tell me anything, I love learning things",", ",0.0,0.5585217475891113,,,,,,,,,
2,Anonymous,Well,"Tell me anything, I love learning things"," Tell me anything, I love learning things Well", tell  me  anything  i  love  learning  things ,0.8547083309718541,0.99707749911717,,,,,,,,,
3,BLENDERBOT,"Tell me anything, I love learning things",Well I 'm not sure what to tell you.," Tell me anything, I love learning things Well Tell me anything, I love learning things",",  i  am  not  sure  what  to  tell  you ",0.6378018283543901,0.8610165119171143,,,,,,,,,
4,Anonymous,Well I 'm not sure what to tell you.,," Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.", _ ,0.0,0.16212038695812225,,,,,,,,,
5,BLENDERBOT,,What do you want to know?," Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you. ", what  do  you  want  to  do ,0.6485466832915942,0.6824571813146273,,,,,,,,,
6,Anonymous,What do you want to know?,," Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?",  ,0.39248114824295044,0.39248114824295044,,,,,,,,,
7,BLENDERBOT,,Do you have any pets?," Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know? ", do  you  have  any  hobbies ,0.6538897514343261,0.6888146132230759,,,,,,,,,
8,Anonymous,Do you have any pets?,Let me ask you something. Has Anonymous dislike interest? . ," Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?  Do you have any pets?"," let  me  tell  you ,  is  a  lost  you    _ ",0.31962710652839055,0.5122812356461178,,,,,,,,,
9,BLENDERBOT,Let me ask you something. Has Anonymous dislike interest? . ,I have a dog and a cat.," Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? . ", i  have  a  dog  and  a  cat ,0.8148313845906939,0.9404594046728951,,,,,,,,,
10,Anonymous,I have a dog and a cat.,I am curious. Has blenderbot be parent of person? . ," Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? .  I have a dog and a cat.",i  am .  has  he  been  kind  or  interest .   ,0.26855314235118305,0.41088852421803906,,,,,,,,,
11,BLENDERBOT,I am curious. Has blenderbot be parent of person? . ,I love them so much.,"nything, I love learning things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? . ", i  love  dogs  very  much ,0.3999533295631409,0.7677848696708679,,,,,,,,,
12,Anonymous,I love them so much.,,"ing things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.", _ ,0.036806464195251465,0.20318388938903809,,,,,,,,,
13,BLENDERBOT,,Do you have any pets?,"ng things Well Tell me anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much. ", do  you  have  any  pets ,0.7965315699577331,0.955479872226715,,,,,,,,,
14,Anonymous,Do you have any pets?,If you don't mind me asking. Has Anonymous dislike interest? . ," anything, I love learning things Well I 'm not sure what to tell you.  What do you want to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.  Do you have any pets?", if  you  would  mind  me . has  he  dislike  interest .   ,0.5576746016740799,0.729074572523435,,,,,,,,,
15,BLENDERBOT,If you don't mind me asking. Has Anonymous dislike interest? . ,I have a dog and a cat.,ell you.  What do you want to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? . , i  have  a  dog  and  a  cat ,0.8569439394133431,0.9997942192213876,,,,,,,,,
16,Anonymous,I have a dog and a cat.,"I just learned something, I had never heard about dog before! . ",nt to know?  Do you have any pets? Let me ask you something. Has Anonymous dislike interest? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? .  I have a dog and a cat.,i  just  learned  that  i  have  never  thought  of  pets  lovers !  i ,0.3765762739170056,0.617847605393483,,,,,,,,,
17,BLENDERBOT,"I just learned something, I had never heard about dog before! . ",I love them so much.,"Anonymous dislike interest? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! . ", i  love  them  so  much ,0.7957878947257996,0.99575856924057,,,,,,,,,
18,Anonymous,I love them so much.,,"est? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much.",s ,0.020983485504984856,0.07841969281435013,,,,,,,,,
19,BLENDERBOT,,Do you have any pets?,"st? .  I have a dog and a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much. ", do  you  have  any  pets ,0.7965832233428956,0.9773739457130433,,,,,,,,,
20,Anonymous,Do you have any pets?,I did not know that! I had never heard about I before! . ,"d a cat. I am curious. Has blenderbot be parent of person? .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much.  Do you have any pets?",i  did  not  know  that  i  have  never  heard  about  dog  either .  _ ,0.5730964541435242,0.7684044731514794,,,,,,,,,
21,BLENDERBOT,I did not know that! I had never heard about I before! . ,I have a dog and a cat.," .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much.  Do you have any pets? I did not know that! I had never heard about I before! . ", i  have  a  dog  and  a  cat ,0.8546763913972037,0.9975229927471706,,,,,,,,,
22,Anonymous,I have a dog and a cat.,I am curious. Has blenderbot ever like by a agent? . ,"  Do you have any pets? If you don't mind me asking. Has Anonymous dislike interest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much.  Do you have any pets? I did not know that! I had never heard about I before! .  I have a dog and a cat.",i  am  wondering  was  she  been  bought  being  an  cat .   ,0.24357684267063937,0.3659222237765789,,,,,,,,,
