Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,How are you doing? Who are you? Stranger?,,how  are  you ?  how  are  you  _,0.4651320172,0.8529487569,0.5698048,0.83032805,,,,,,,,,
1,,How are you doing? Who are you? Stranger?,Imme,How are you doing? Who are you? Stranger?,?,0,0.2894281745,0.76740074,0.8214908,,,,,,,,,
2,,Imme,So your name is Imme?,How are you doing? Who are you? Stranger? Imme,?  whose  name ? ?,0.2339500621,0.6062272474,0.99606156,0.79320186,,,,,,,,,
3,,So your name is Imme?,yes,How are you doing? Who are you? Stranger? Imme So your name is Imme?,hello,0,0.09042980522,0.8802071,0.7854635,,,,,,,,,
4,Leolani2,yes,Do you have any gossip?,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes,do  you  know  any  hobbies,0.5677821696,0.6512246564,0.9121886,0.7285426,5,5,5,5,5,5,5,5,5
5,Imme,Do you have any gossip?,Thomas is in love,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip?,everyone  am  i  trouble,0.0851335451,0.2809133343,0.34643862,0.6515251,,,,,,,,,
6,Leolani2,Thomas is in love,Exciting news! I did not know anybody who be in love,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love,! !  i  do  not  know  that  could  was  in  love,0.3632250088,0.6282802278,0.003617899,0.66868496,4,3,5,3,5,5,5,5,5
7,Imme,Exciting news! I did not know anybody who be in love,What is love?,How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love,what  about  it,0.2213480274,0.5351593097,0.0021569075,0.684596,,,,,,,,,
8,Leolani2,What is love?,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love?,i  may  be  wrong  but  i  do  i  am  ignorant  i  have  no  gossip,0.4109587339,0.656767248,0.12849143,0.9159797,3,1,3,3,5,5,5,5,5
9,Imme,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",Love is an emotion," How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea",it  is  an  emotion,0.5901343673,0.717083618,0.9756727,0.672523,,,,,,,,,
