,Turn,Speaker,Cue,Context,System response,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,0,Leolani2,,,What's up? What is your name? Stranger?,what  up  what  is  your  favorite  _,0.2900934134,0.5625751189,0.6161373,0.8010525,,,,,,,,,
1,1,Thomas,What's up? What is your name? Stranger?,What's up? What is your name? Stranger?,Thomas,?,0,0.1001554355,0.91013896,0.77443105,,,,,,,,,
2,2,Leolani2,Thomas,What's up? What is your name? Stranger? Thomas,So your name is Thomas?,?  your  name ? ?,0.3124009684,0.6943191737,0.9977216,0.71974164,,,,,,,,,
3,3,Thomas,So your name is Thomas?,What's up? What is your name? Stranger? Thomas So your name is Thomas?,yes,?,0,0.08255455643,0.9838492,0.73561174,,,,,,,,,
4,4,Leolani2,yes,What's up? What is your name? Stranger? Thomas So your name is Thomas? yes,Would you like to chat? I'll do my best to keep up,would  you  like  to ?  i  try  my  best  to  keep  quiet,0.5471601831,0.7361755123,0.9693412,0.7391765,5,3,5,5,5,5,5,5,5
5,5,Thomas,Would you like to chat? I'll do my best to keep up,What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up,I like chatting,and  enjoy  chatting,0.1932130009,0.2385839522,0.49399754,0.75557405,,,,,,,,,
6,6,Leolani2,I like chatting,What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting,I would like to know. What types of Instance like chatting do person orInstance usually like,and  would  like  to  know  what  kind  of  people  or ?  in  you as  you  do,0.3183999446,0.6468903413,0.90223813,0.9182499,2,1,2,2,3,1,2,2,2
7,7,Thomas,I would like to know. What types of Instance like chatting do person orInstance usually like,What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like,Person likes convos,and  have ?,0,0.3994042923,0.9741675,0.70536214,,,,,,,,,
8,8,Leolani2,Person likes convos,What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos,I am curious. What types of noun orInstance like convos do tops orInstance usually like,i  am  curious what  types  of  chat s  like  chatting ?  person  or  usually  like,0.4339178264,0.6876873096,0.99794054,0.6647635,2,1,2,2,3,1,2,1,1
9,9,Thomas,I am curious. What types of noun orInstance like convos do tops orInstance usually like,omas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like,Convos are not people,they  or  you  used,0,0.1939154873,0.99823236,0.98880607,,,,,,,,,
10,10,Leolani2,Convos are not people,homas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people,Let me ask you something. Has convos work at institution?," let  me  ask  you ,  do  he  happened  for  all ",0.2817911059,0.5241628349,0.9981058,0.9950086,2,1,2,2,1,1,1,3,1
11,11,Thomas,Let me ask you something. Has convos work at institution?,up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution?,I work at institution,they  work  at  institution,0.5621985462,0.6534298286,0.99832064,0.9969726,,,,,,,,,
12,12,Leolani2,I work at institution,would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution,Let me ask you something. Has thomas experience touch?,let  me  ask  you  something did  person  had  with,0.4455779563,0.6334620598,0.99818295,0.99711967,2,1,2,2,1,1,1,3,1
13,13,Thomas,Let me ask you something. Has thomas experience touch?,g do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch?,I have experience touch,i  never  experienced  touch,0.5818029679,0.7466798946,0.99779284,0.9972547,,,,,,,,,
14,14,Leolani2,I have experience touch,sually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch,I am curious. Has thomas own object?,i  am  curious  is  his  experience  touch,0.2337444659,0.5192577264,0.9963226,0.9971608,2,1,2,2,1,1,1,3,1
15,15,Thomas,I am curious. Has thomas own object?,curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object?,I own object,has  have  object,0.2915526947,0.6894536018,0.9967887,0.99705774,,,,,,,,,
16,16,Leolani2,I own object,types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object,Interesting! I am excited to get to know about you!,. i  am  excited  to  learn  to  know  more  th,0.5233535841,0.6299969405,0.994314,0.99669886,3,1,3,1,2,2,3,5,5
17,17,Thomas,Interesting! I am excited to get to know about you!,ance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you!,What do you want to know?,what  do  you  want  to  know,0.7478698989,0.8749201596,0.99765635,0.97579944,,,,,,,,,
18,18,Leolani2,What do you want to know?,re not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know?,I know agent usually want to verb.cognition but I do not know this case,i  know  i  i  refers  the  know .  i  do  not  in  the .,0.2740759607,0.5441404155,0.9944816,0.9952389,1,1,1,1,1,1,1,2,1
