Turn,Speaker,Cue,Context,MLM response,System llh,MLM llh,Response,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,, good  to  meet .  i  told  you  my  story  but  what  is  your  :) ,0.3590657379411690,0.6775695543204040,"Nice to see you! I've told you my name, but what about yours? Stranger?",0.6834571,0.8311351,5,3,5,5,5,3,3,4,5
1,,"Nice to see you! I've told you my name, but what about yours? Stranger?"," Nice to see you! I've told you my name, but what about yours? Stranger?",? ? ,0.0,0.41667961329221700,Rishvik Chandel,0.9857263,0.81546676,5,2,3,5,5,5,5,5,5
2,,Rishvik Chandel," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel",?  your  name  is ? ,0.4419907867908480,0.6060079783201220,So your name is Rishvik_Chandel?,0.9977891,0.8413403,5,,5,5,5,5,5,5,5
3,,So your name is Rishvik_Chandel?," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel?",hello ,0.0,0.18562424182891800,yes,0.9907251,0.80614895,5,1,2,4,4,4,4,4,4
4,Leolani2,yes," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes", would  you  like  to ?  i  try  my  best  to  keep  quiet ,0.5672284911076230,0.7527568638324740,Would you like to chat? I'll do my best to keep up,0.9906559,0.80529875,5,4,5,5,5,5,5,5,5
5,Rishvik_Chandel,Would you like to chat? I'll do my best to keep up," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up", with  the  to  too ,0.00787076260894537,0.19912012293934800,I like cars ,0.9953213,0.6611396,5,2,3,5,5,5,5,5,4
6,Leolani2,I like cars ," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars ",ive  chat ,0.0,0.4317263662815090,Let's chat!,0.99692035,0.660733,3,1,3,2,2,2,2,3,4
7,Rishvik_Chandel,Let's chat!," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat!",i  like  cars ,0.791424552599589,0.791424552599589,I like cars,0.9961212,0.4359925,4,1,4,4,2,3,4,4,3
8,Leolani2,I like cars," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars",!  can  you  tell  me  your  name ? ,0.6458637863397600,0.8249334618449210,Hello! Can you tell me your name Rishvik_Chandel?,0.9968007,0.99716544,2,3,4,4,3,2,2,3,3
9,,Hello! Can you tell me your name Rishvik_Chandel?," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel?",? ? ,0.0,0.08193349838256840,Rishvik Chandel,0.996786,0.9971806,5,3,4,4,4,4,4,4,4
10,,Rishvik Chandel," Nice to see you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel", so  your  name  is  _ ,0.7360528707504270,0.7508347719907760,So your name is Rishvik_Chandel?,0.9973475,0.997203,5,4,4,4,3,4,4,3,4
11,,So your name is Rishvik_Chandel?," you! I've told you my name, but what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel?", yes  my  name  is  actually _ ,0.6144846081733700,0.6539070469637710,yes my name is Rishvik Chandel,0.99796957,0.99718267,5,2,3,3,3,3,3,2,2
