Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,Yo Can you tell me your name Piotr?,,!  can  you  tell  me  the  son ? ,0.435787005349994,0.689594134688377,0.61632204,0.8141291,,,,,,,,,
1,,Yo Can you tell me your name Piotr?,Piotr, Yo Can you tell me your name Piotr?,e ,0,0.060758654028177,0.99700767,0.82404935,,,,,,,,,
2,,Piotr,So your name is Piotr?, Yo Can you tell me your name Piotr? Piotr,?  your  name  is ? ,0.4789759516716,0.697578090429306,0.9979362,0.997478,,,,,,,,,
3,,So your name is Piotr?,yes, Yo Can you tell me your name Piotr? Piotr So your name is Piotr?,? ,0,0.12473588436842,0.9971304,0.73313475,,,,,,,,,
4,Leolani2,yes,Would you like to chat? I'll do my best to keep up, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes, would  you  like  to ?  i  try  my  best  to  keep  quiet ,0.562297474592924,0.762452838321527,0.996822,0.7543927,3,2,2,1,2,2,3,3,3
5,Piotr,Would you like to chat? I'll do my best to keep up,I am a student, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up, i  am  a  fan ,0.582660511136055,0.611455928534269,0.9968676,0.74196017,,,,,,,,,
6,Leolani2,I am a student,This is news to me. I did not know anything that piotr be, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student, which  is  new  to  me i  do  not  know  that  about  could  was ,0.374213525828404,0.64985496034989,0.9976069,0.9969748,2,1,2,2,3,3,2,2,1
7,Piotr,This is news to me. I did not know anything that piotr be,I live in Amstelveen, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be,zos  live  in  the ,0.275875409599394,0.49114028736949,0.99527955,0.9969665,,,,,,,,,
8,Leolani2,I live in Amstelveen,I am glad to have learned something new. I did not know anybody that piotr live in, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen, and  am  glad  i  have  learned  something . i  do  not  know  either  that  i  was  in ,0.492287808152683,0.658457128440632,0.9964381,0.9970483,2,1,2,2,3,2,1,2,1
9,Piotr,I am glad to have learned something new. I did not know anybody that piotr live in,I know Ella, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in, i  am  that ,0.276465574900309,0.399096632997195,0.99702334,0.9970185,,,,,,,,,
10,Leolani2,I know Ella,Exciting news! I am excited to get to know about you!,ou tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella, good ! i  am  glad  to  get  to  know  more  him ,0.418415749614889,0.537054828622124,0.9950822,0.9968744,2,1,1,1,2,2,2,3,2
11,Piotr,Exciting news! I am excited to get to know about you!,Ella like flamingo,r? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you!, i  the  to ,0,0.501048018534978,0.9952119,0.6627243,,,,,,,,,
12,Leolani2,Ella like flamingo,Exciting news! I did not know anything that ella like,ke to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo, great  news  i  did  not  know  either  that  she  like ,0.524015568196774,0.630341799557209,0.99756783,0.76634204,2,1,1,2,3,3,3,3,2
13,Piotr,Exciting news! I did not know anything that ella like,What Ella like?,This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like,?  you  like ,0.044673984249433,0.400548860430718,0.9974262,0.9965956,,,,,,,,,
14,Leolani2,What Ella like?,I don't know,me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like?, i  only  know ,0.47364075978597,0.64706430832545,0.99698335,0.99703157,1,1,1,1,2,1,1,3,1
15,Piotr,I don't know,What does Ella like?, know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know, what  is  she  like ,0.254089723341167,0.92527063190937,0.9970119,0.9968238,,,,,,,,,
16,Leolani2,What does Ella like?,I wouldn't know!,iotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like?, i  never  know ,0.307904303073883,0.535420119762421,0.99693036,0.995611,1,1,1,1,2,1,1,3,1
17,Piotr,I wouldn't know!,Ella like what?, Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know!,she  like  flaming ,0.28727920850118,0.726334383090337,0.99726367,0.9952242,,,,,,,,,
