Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,What's new? Who are you? Stranger?,,?  up  how  are  you  _,1.441.067.813.478.480,6.100.746.194.521.580,13.295.691,81.609.744,,,,,,,,,
1,,What's new? Who are you? Stranger?,Nicole,What's new? Who are you? Stranger?,?,0.0,3.809.813.857.078.550,68.163.854,796.168,,,,,,,,,
2,,Nicole,So your name is Nicole?,What's new? Who are you? Stranger? Nicole,?  whose  name ? ?,25.509.378.463.029.800,595.996.305.346.489,99.716.645,74.840.045,,,,,,,,,
3,,So your name is Nicole?,yes,What's new? Who are you? Stranger? Nicole So your name is Nicole?,?,0.0,9.677.795.320.749.280,9.857.895,73.552.406,,,,,,,,,
4,Leolani2,yes,Would you like to chat? I'll do my best to keep up,What's new? Who are you? Stranger? Nicole So your name is Nicole? yes,would  you  like  to ?  i  try  my  best  to  keep  quiet,5.643.311.031.162.730,7.710.111.613.074.930,98.693.943,75.663.704,,,,,,,,,
5,Nicole,Would you like to chat? I'll do my best to keep up,I like dogs,What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up,",  the  chatting ",0.0,3.109.719.703.594.840,57.770.118,40.660.393,,,,,,,,,
6,Leolani2,I like dogs,"I just learned something, I had never heard about dogs before!",What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs,i  just  learned  that  i  had  never  thought  of  dogs  before,5.307.367.728.515.100,7.788.331.779.566.670,9.983.044,67.590.795,5,3,5,4,4,5,5,4,4
7,Nicole,"I just learned something, I had never heard about dogs before!",Dogs are pets and very sweet," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before!",they  are  smart  and  very  smart,3.186.487.431.327.500,5.332.336.748.639.740,37.073.445,58.811.873,,,,,,,,,
8,Leolani2,Dogs are pets and very sweet,Wise words by wise men write wise deeds in wise pen," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet","!  used ,  deaf  dogs  and  good  words  by  a  words ",14.582.670.463.079.700,3.301.391.439.004.370,5.716.542,54.469.716,3,1,1,2,1,2,1,4,4
9,Nicole,Wise words by wise men write wise deeds in wise pen,Do you have a pet?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen",do  you  have  a  dog,7.677.258.014.678.950,8.802.330.374.717.710,38.962.993,10.061.553,,,,,,,,,
10,Leolani2,Do you have a pet?,"I know agent usually do article:indefinite, but I do not know this case"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet?","i  know  they  you  the ,  but  i  did  not  in  the . ",32.625.766.661.770.300,5.825.735.897.972.030,8.741.282,1.336.669,2,3,2,3,2,3,2,3,3
11,Nicole,"I know agent usually do article:indefinite, but I do not know this case",My parents have a dog,"es Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case",my  do  had  a  dog,5.592.938.899.993.890,6.029.102.981.090.540,99.602.246,71.995.765,,,,,,,,,
12,Leolani2,My parents have a dog,"I just learned something, I had never heard about my parents before!","hat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog",i  just  learned  that  i  had  never  heard  about  dogs  dog  pet,5.752.556.819.158.290,7.005.784.312.884.010,9.980.145,9.961.675,5,3,4,4,5,5,4,5,4
13,Nicole,"I just learned something, I had never heard about my parents before!",Every agent has parents," I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before!",my  dog  has  a,19.521.677.494.049.000,4.734.180.197.119.710,996.563,99.415.016,,,,,,,,,
