Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,How are you doing? Who are you? Stranger?,, how  are  you ?  how  are  you  _ ,0.4651320171833504,0.8529487568885088,0.5698048,0.83032805,,,,,,,,,
1,Imme,How are you doing? Who are you? Stranger?,Imme, How are you doing? Who are you? Stranger?,? ,0.0,0.289428174495697,0.76740074,0.8214908,,,,,,,,,
2,Leolani2,Imme,So your name is Imme?, How are you doing? Who are you? Stranger? Imme,?  whose  name ? ? ,0.23395006209611893,0.6062272474169731,0.99606156,0.79320186,,,,,,,,,
3,Imme,So your name is Imme?,yes, How are you doing? Who are you? Stranger? Imme So your name is Imme?, hello ,0.0,0.09042980521917343,0.8802071,0.7854635,,,,,,,,,
4,Leolani2,yes,Do you have any gossip?, How are you doing? Who are you? Stranger? Imme So your name is Imme? yes, do  you  know  any  hobbies ,0.5677821695804596,0.6512246564030647,0.9121886,0.7285426,4,4,5,3,4,5,5,5,5
5,Imme,Do you have any gossip?,Thomas is in love, How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip?,everyone  am  i  trouble ,0.08513354510068893,0.2809133343398571,0.34643862,0.6515251,,,,,,,,,
6,Leolani2,Thomas is in love,Exciting news! I did not know anybody who be in love, How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love,! !  i  do  not  know  that  could  was  in  love ,0.36322500878437,0.6282802278345282,0.003617899,0.66868496,3,5,2,4,5,5,5,4,3
7,Imme,Exciting news! I did not know anybody who be in love,What is love?, How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love, what  about  it ,0.2213480273882548,0.5351593097050985,0.0021569075,0.684596,,,,,,,,,
8,Leolani2,What is love?,"I may be ignorant, bu tI don't know.I am sorry, I have no idea", How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love?, i  may  be  wrong  but  i  do  i  am  ignorant  i  have  no  gossip ,0.4109587339418275,0.6567672480429921,0.12849143,0.9159797,2,3,2,2,4,2,5,4,4
9,Imme,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",Love is an emotion," How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea", it  is  an  emotion ,0.5901343673467636,0.7170836180448532,0.9756727,0.672523,,,,,,,,,
10,Leolani2,Love is an emotion,I am curious. What kinds of things can be a an emotion like love," How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion", i  am  wondering  all  kinds  of  things  can  be  considered  human  emotion ?  love ,0.4068824125986014,0.5743481846792358,0.9960758,0.63530654,4,5,4,4,5,5,4,4,2
11,Imme,I am curious. What kinds of things can be a an emotion like love,Anger is an emotion too,"ou? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love", which  be  an  emotion  like ,0.3944496810436249,0.5257737427949906,0.9957162,0.6404398,,,,,,,,,
12,Leolani2,Anger is an emotion too,Wise words by wise men write wise deeds in wise pen,"ur name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too",?  written .  which  people  and  their  words  with  a  words ,0.01969208534468304,0.3449977243488485,0.9908444,0.4902212,2,5,2,2,3,2,4,2,5
13,Imme,Wise words by wise men write wise deeds in wise pen,Imme is a wise man,"is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen", there  to  a  wise  man ,0.3915282845497131,0.47945536226034163,0.99418354,0.99568915,,,,,,,,,
14,Leolani2,Imme is a wise man,"I just learned something, I had never heard about a wise man before!"," news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man", i  just  learned  that  i  have  never  heard  of  a  wise  man . ,0.6298216415139345,0.8297420465029203,0.9974281,0.9956084,3,2,2,4,5,5,4,4,5
15,Imme,"I just learned something, I had never heard about a wise man before!",stop,"gnorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before!",! ,0.0,0.11284307390451431,0.94915247,0.97742593,,,,,,,,,
16,Leolani2,stop,As the prophecy foretold,"nt, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop", reading  the  bible  of ,0.06018580449745059,0.4833448864519596,0.9893442,0.9874023,,,,,,,,,
17,Leolani2,As the prophecy foretold,Hey! Who are you? Stranger?," sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold",!  how  are  you hello ,0.16920233964920045,0.6446854919195175,0.9849576,0.9902117,,,,,,,,,
18,Thomas,Hey! Who are you? Stranger?,Thomas,"is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger?",! ,0.0,0.16307280957698822,0.9733797,0.4393766,,,,,,,,,
19,Leolani2,Thomas,So your name is Thomas?,"motion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas",?  whose  name  is ? ,0.3970757067203522,0.6102597177028656,0.9505627,0.44349608,,,,,,,,,
20,Thomas,So your name is Thomas?,Yes,"t kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas?", stranger ,0.0,0.12573067843914032,0.9000346,0.4565916,,,,,,,,,
21,Leolani2,Yes,"Tell me something, anything!","nds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes", tell  me  about  please ,0.4540540724992752,0.6325696669518948,0.9639224,0.52162325,3,2,4,2,4,5,4,4,5
22,Thomas,"Tell me something, anything!",I live in Amsterdam,"tion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything!", i  live  in  dc ,0.5802758932113647,0.5958485370501876,0.3449439,0.89211553,,,,,,,,,
23,Leolani2,I live in Amsterdam,Exciting news! I did not know anybody who live in amsterdam," is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam", good !  i  do  not  know  people  could  lived  in  there ,0.34481384368105367,0.7349087568846616,0.6832265,0.9918304,4,4,2,4,4,5,5,4,4
24,Thomas,Exciting news! I did not know anybody who live in amsterdam,Imme also lives in Amsterdam,"n wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam", who  who  live  in  dc ,0.22565097212791443,0.6704343169927597,0.9976382,0.996465,,,,,,,,,
25,Leolani2,Imme also lives in Amsterdam,Let me ask you something. Has imme be from location?," I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam"," let  me  ask  you , can  it  moved  your  there ",0.35365563035011294,0.6739754110574723,0.98112196,0.6209001,2,3,4,5,2,2,4,4,3
26,Thomas,Let me ask you something. Has imme be from location?,Imme is not from Rotterdam,"wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location?", he  is  originally  from  location ,0.29713462591171264,0.6489637732505799,0.028484542,0.37892663,,,,,,,,,
27,Leolani2,Imme is not from Rotterdam,Let me ask you something. Has imme ever favorite of a interest?,"e prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location? Imme is not from Rotterdam", let  me  ask  you  something has  you  been  been  or  your  movie ,0.36903342977166176,0.5793280719468991,0.078096494,0.6409775,2,3,4,4,4,3,2,2,3
