Turn,Speaker,Cue,Context,rdf_file,Response,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total explicit triples,Total semantic statements,Total sources,Total predicates,Total classes,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Total properties
0,Leolani,,,brain_log_2021-12-07-16-26-24.trig,What's up? What is your name? Stranger?, what  up  what  is  your  favorite  _ ,0.2900934134210859,0.5625751188823155,0.6161373,0.8010525,,,,,,,,,,7906.0,,,,294.0,2870.0,7906.0,5.509407665505226,0.0019203233410614242,0.0017210902516714033,0.8596768057594533,-0.11746526166007995,0.0,267.0
1,Thomas,What's up? What is your name? Stranger?, What's up? What is your name? Stranger?,,Thomas,? ,0.0,0.1001554355025291,0.91013896,0.77443105,,,,,,,,,,7906.0,,,,294.0,2870.0,7906.0,5.509407665505226,0.0019203233410614242,0.0017210902516714033,0.8596768057594533,-0.11746526166007995,0.0,267.0
2,Leolani,Thomas, What's up? What is your name? Stranger? Thomas,,So your name is Thomas?,?  your  name ? ? ,0.3124009683728218,0.6943191736936569,0.9977216,0.71974164,,,,,,,,,,7906.0,,,,294.0,2870.0,7906.0,5.509407665505226,0.0019203233410614242,0.0017210902516714033,0.8596768057594533,-0.11746526166007995,0.0,267.0
3,Thomas,So your name is Thomas?, What's up? What is your name? Stranger? Thomas So your name is Thomas?,brain_log_2021-12-07-16-27-12.trig,yes,? ,0.0,0.0825545564293861,0.9838492,0.73561174,,,,,,,,,,8021.0,,,,294.0,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001977,0.0,267.0
4,Leolani,yes, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes,,Would you like to chat? I'll do my best to keep up, would  you  like  to ?  i  try  my  best  to  keep  quiet ,0.5471601830795407,0.7361755122741064,0.9693412,0.7391765,4.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,8021.0,,,,294.0,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001977,0.0,267.0
5,Thomas,Would you like to chat? I'll do my best to keep up, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up,brain_log_2021-12-07-16-28-00.trig,I like chatting, and  enjoy  chatting ,0.1932130008935928,0.2385839521884918,0.49399754,0.75557405,,,,,,,,,,8069.0,,,,294.0,2948.0,8069.0,5.474219810040705,0.0018575567730032935,0.0016971628270833605,0.8750722214111624,-0.11548062814796618,0.0,267.0
6,Leolani,I like chatting, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting,,I would like to know. What types of Instance like chatting do person orInstance usually like, and  would  like  to  know  what  kind  of  people  or ?  in  you as  you  do ,0.3183999445755034,0.6468903413042426,0.90223813,0.9182499,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,8069.0,,,,294.0,2948.0,8069.0,5.474219810040705,0.0018575567730032935,0.0016971628270833605,0.8750722214111624,-0.11548062814796618,0.0,267.0
7,Thomas,I would like to know. What types of Instance like chatting do person orInstance usually like, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like,brain_log_2021-12-07-16-28-53.trig,Person likes convos, and  have ? ,0.0,0.3994042923053105,0.9741675,0.70536214,,,,,,,,,,8111.0,,,,294.0,2966.0,8111.0,5.46931894807822,0.0018446269639386913,0.001698486537609866,0.879595271539708,-0.11628683877150907,0.0,267.0
8,Leolani,Person likes convos, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos,,I am curious. What types of noun orInstance like convos do tops orInstance usually like, i  am  curious what  types  of  chat s  like  chatting ?  person  or  usually  like ,0.4339178264141082,0.6876873095830282,0.99794054,0.6647635,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,8111.0,,,,294.0,2966.0,8111.0,5.46931894807822,0.0018446269639386913,0.001698486537609866,0.879595271539708,-0.11628683877150907,0.0,267.0
9,Thomas,I am curious. What types of noun orInstance like convos do tops orInstance usually like,omas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like,brain_log_2021-12-07-16-30-05.trig,Convos are not people, they  or  you  used ,0.0,0.1939154872670769,0.99823236,0.98880607,,,,,,,,,,8157.0,,,,294.0,2985.0,8157.0,5.465326633165829,0.001831543777870586,0.0016997466377047486,0.8838489444543709,-0.11721178900870001,0.0,267.0
