Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,Yo Can you tell me your name Piotr?,,!  can  you  tell  me  the  son ? ,0.435787005,0.689594135,0.61632204,0.8141291,,,,,,,,,
1,,Yo Can you tell me your name Piotr?,Piotr, Yo Can you tell me your name Piotr?,e ,0,0.060758654,0.99700767,0.82404935,,,,,,,,,
2,,Piotr,So your name is Piotr?, Yo Can you tell me your name Piotr? Piotr,?  your  name  is ? ,0.478975952,0.69757809,0.9979362,0.997478,,,,,,,,,
3,,So your name is Piotr?,yes, Yo Can you tell me your name Piotr? Piotr So your name is Piotr?,? ,0,0.124735884,0.9971304,0.73313475,,,,,,,,,
4,Leolani2,yes,Would you like to chat? I'll do my best to keep up, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes, would  you  like  to ?  i  try  my  best  to  keep  quiet ,0.562297475,0.762452838,0.996822,0.7543927,4,3,5,1,3,5,5,5,5
5,Piotr,Would you like to chat? I'll do my best to keep up,I am a student, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up, i  am  a  fan ,0.582660511,0.611455929,0.9968676,0.74196017,0,,,,,,,,
6,Leolani2,I am a student,This is news to me. I did not know anything that piotr be, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student, which  is  new  to  me i  do  not  know  that  about  could  was ,0.374213526,0.64985496,0.9976069,0.9969748,3,2,2,4,4,3,2,4,2
7,Piotr,This is news to me. I did not know anything that piotr be,I live in Amstelveen, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be,zos  live  in  the ,0.27587541,0.491140287,0.99527955,0.9969665,0,,,,,,,,
8,Leolani2,I live in Amstelveen,I am glad to have learned something new. I did not know anybody that piotr live in, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen, and  am  glad  i  have  learned  something . i  do  not  know  either  that  i  was  in ,0.492287808,0.658457128,0.9964381,0.9970483,3,2,2,4,4,3,2,4,2
9,Piotr,I am glad to have learned something new. I did not know anybody that piotr live in,I know Ella, Yo Can you tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in, i  am  that ,0.276465575,0.399096633,0.99702334,0.9970185,0,,,,,,,,
10,Leolani2,I know Ella,Exciting news! I am excited to get to know about you!,ou tell me your name Piotr? Piotr So your name is Piotr? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella, good ! i  am  glad  to  get  to  know  more  him ,0.41841575,0.537054829,0.9950822,0.9968744,2,1,1,1,3,3,3,4,3
11,Piotr,Exciting news! I am excited to get to know about you!,Ella like flamingo,r? yes Would you like to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you!, i  the  to ,0,0.501048019,0.9952119,0.6627243,0,,,,,,,,
12,Leolani2,Ella like flamingo,Exciting news! I did not know anything that ella like,ke to chat? I'll do my best to keep up I am a student This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo, great  news  i  did  not  know  either  that  she  like ,0.524015568,0.6303418,0.99756783,0.76634204,3,2,2,4,4,3,2,4,2
13,Piotr,Exciting news! I did not know anything that ella like,What Ella like?,This is news to me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like,?  you  like ,0.044673984,0.40054886,0.9974262,0.9965956,0,,,,,,,,
14,Leolani2,What Ella like?,I don't know,me. I did not know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like?, i  only  know ,0.47364076,0.647064308,0.99698335,0.99703157,3,1,1,1,5,3,4,5,5
15,Piotr,I don't know,What does Ella like?, know anything that piotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know, what  is  she  like ,0.254089723,0.925270632,0.9970119,0.9968238,0,,,,,,,,
16,Leolani2,What does Ella like?,I wouldn't know!,iotr be I live in Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like?, i  never  know ,0.307904303,0.53542012,0.99693036,0.995611,3,1,1,1,5,3,4,5,5
17,Piotr,I wouldn't know!,Ella like what?, Amstelveen I am glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know!,she  like  flaming ,0.287279209,0.726334383,0.99726367,0.9952242,0,,,,,,,,
18,Leolani2,Ella like what?,If you don't mind me asking. Has ella be member of institution?, glad to have learned something new. I did not know anybody that piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know! Ella like what?," if  you  would  mind  me , can  she  been  part  of  the ",0.356768916,0.593094766,0.9968395,0.9949875,3,2,5,4,3,3,2,2,2
19,Piotr,If you don't mind me asking. Has ella be member of institution?,Ella is student, piotr live in I know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know! Ella like what? If you don't mind me asking. Has ella be member of institution?, she  a  a ,0.062421833,0.314453408,0.99688375,0.9969095,0,,,,,,,,
20,Leolani2,Ella is student,If you don't mind me asking. Has ella own object?, know Ella Exciting news! I am excited to get to know about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know! Ella like what? If you don't mind me asking. Has ella be member of institution? Ella is student, if  you  do  mind  me  asking is  her  been  a ,0.419940819,0.689799221,0.99765116,0.99653333,3,2,5,4,3,3,2,2,2
21,Leolani2,If you don't mind me asking. Has ella own object?,How's it going? What is your name? Ella?,now about you! Ella like flamingo Exciting news! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know! Ella like what? If you don't mind me asking. Has ella be member of institution? Ella is student If you don't mind me asking. Has ella own object?,how  it ?  what  s  her  favorite  _ ,0.281844823,0.573807271,0.99775696,0.99721885,0,,,,,,,,
22,,How's it going? What is your name? Ella?,Ella,g news! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know! Ella like what? If you don't mind me asking. Has ella be member of institution? Ella is student If you don't mind me asking. Has ella own object? How's it going? What is your name? Ella?,e ,0,0.161263615,0.9976097,0.99724585,0,,,,,,,,
23,,Ella,So your name is Ella?,s! I did not know anything that ella like What Ella like? I don't know What does Ella like? I wouldn't know! Ella like what? If you don't mind me asking. Has ella be member of institution? Ella is student If you don't mind me asking. Has ella own object? How's it going? What is your name? Ella? Ella,?  your  name ? ? ,0.29221611,0.701643729,0.99762064,0.9972391,0,,,,,,,,
