Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,ELIZA,,"Tell me something, anything!",, give  me  about  please ,0.2618981320410967,0.796561062335968,,,,,,,,,
1,BLENDERBOT,"Tell me something, anything!",Well," Tell me something, anything!",! ,0.0,0.31711289286613464,,,,,,,,,
2,ELIZA,Well,"Tell me something, anything!"," Tell me something, anything! Well"," tell  me ,  anything ",0.47614072263240814,0.8622269183397293,,,,,,,,,
3,BLENDERBOT,"Tell me something, anything!",Well," Tell me something, anything! Well Tell me something, anything!",! ,0.09492949396371841,0.19493114948272705,,,,,,,,,
4,ELIZA,Well,Would you like to chat? I'll do my best to keep up," Tell me something, anything! Well Tell me something, anything! Well", would  you  want  to ? i  try  my  best  to  keep  quiet ,0.5425917512426773,0.6920365480085214,,,,,,,,,
5,BLENDERBOT,Would you like to chat? I'll do my best to keep up,Sure," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up",! ,0.0,0.4161130487918854,,,,,,,,,
6,ELIZA,Sure,"Tell me something, anything!"," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure"," tell  me ,  anything ",0.47608180344104767,0.952431932091713,,,,,,,,,
7,BLENDERBOT,"Tell me something, anything!",Well," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything!", well ,0.5613632202148438,0.5613632202148438,,,,,,,,,
8,ELIZA,Well,Would you like to chat? I'll do my best to keep up," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well", would  you  like  to  chat i  do  my  best  to  keep  up ,0.8324412008126577,0.9522226204474767,,,,,,,,,
9,BLENDERBOT,Would you like to chat? I'll do my best to keep up,Sure," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up",! ,0.0,0.45698821544647217,,,,,,,,,
10,ELIZA,Sure,Please tell me more.," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure", but  tell  me  something ,0.5444322600960732,0.7498898953199387,,,,,,,,,
11,BLENDERBOT,Please tell me more.,Sure what do you do for a living?," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more.", so  what  do  you  do  for  a  living ,0.7304707393050194,0.8779165111482143,,,,,,,,,
12,ELIZA,Sure what do you do for a living?,Why do you ask that?," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living?", why  do  you  do ? ,0.4867305546998978,0.7466238737106323,,,,,,,,,
13,BLENDERBOT,Why do you ask that?,I 'm an accountant," Tell me something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Why do you ask that?",i  am  an  engineer ,0.4579351383727044,0.8058857694268227,,,,,,,,,
14,ELIZA,I 'm an accountant,How do you feel when you say that?,"something, anything! Well Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Why do you ask that? I 'm an accountant", how  do  you  mean  when  you  say  you ,0.6071916669607162,0.7088619377464056,,,,,,,,,
15,BLENDERBOT,How do you feel when you say that?,I 'm an accountant what about you?,"omething, anything! Well Would you like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Why do you ask that? I 'm an accountant How do you feel when you say that?",i  am  an  accountant  how  about  you ,0.5550200677077685,0.8490651164736066,,,,,,,,,
16,ELIZA,I 'm an accountant what about you?,Why do you ask that?,"like to chat? I'll do my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Why do you ask that? I 'm an accountant How do you feel when you say that? I 'm an accountant what about you?", why  do  you  ask  that ,0.7323306441307068,0.9019394993782044,,,,,,,,,
17,BLENDERBOT,Why do you ask that?,I do n't know," my best to keep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Why do you ask that? I 'm an accountant How do you feel when you say that? I 'm an accountant what about you? Why do you ask that?", i  do  not  know ,0.528609111905098,0.7737540304660797,,,,,,,,,
18,ELIZA,I do n't know,Please tell me more.,"ep up Sure Tell me something, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Why do you ask that? I 'm an accountant How do you feel when you say that? I 'm an accountant what about you? Why do you ask that? I do n't know",.  tell  me  more ,0.5475002862513065,0.836212582886219,,,,,,,,,
19,BLENDERBOT,Please tell me more.,I do n't know I guess I just feel like I 'm not good enough for them.,"mething, anything! Well Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Why do you ask that? I 'm an accountant How do you feel when you say that? I 'm an accountant what about you? Why do you ask that? I do n't know Please tell me more.",i  do  not  know  i  guess  i  just  feel  like  i  am  not  doing  enough  for  you ,0.6874309567844167,0.8096839119406307,,,,,,,,,
20,ELIZA,I do n't know I guess I just feel like I 'm not good enough for them.,Let's change focus a bit... Tell me about your family.,p up Sure Please tell me more. Sure what do you do for a living? Why do you ask that? I 'm an accountant How do you feel when you say that? I 'm an accountant what about you? Why do you ask that? I do n't know Please tell me more. I do n't know I guess I just feel like I 'm not good enough for them., lets  just  topics  a  bit  tell  me  about  your  job ,0.4729831116041169,0.7053517699241638,,,,,,,,,
21,BLENDERBOT,Let's change focus a bit... Tell me about your family.,My family is very supportive.,a living? Why do you ask that? I 'm an accountant How do you feel when you say that? I 'm an accountant what about you? Why do you ask that? I do n't know Please tell me more. I do n't know I guess I just feel like I 'm not good enough for them. Let's change focus a bit... Tell me about your family., my  family  is  very  good ,0.5738386392593384,0.6068629175424576,,,,,,,,,
22,ELIZA,My family is very supportive.,Why do you say that your family is very supportive?, I 'm an accountant How do you feel when you say that? I 'm an accountant what about you? Why do you ask that? I do n't know Please tell me more. I do n't know I guess I just feel like I 'm not good enough for them. Let's change focus a bit... Tell me about your family. My family is very supportive.,why  do  you  say  that  your  family  is  very  supportive ,0.7362165689468384,0.8338957488536834,,,,,,,,,
23,BLENDERBOT,Why do you say that your family is very supportive?,They are always there for me when I need them.,t? I 'm an accountant what about you? Why do you ask that? I do n't know Please tell me more. I do n't know I guess I just feel like I 'm not good enough for them. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive?, they  are  always  there  for  me  when  i  need  them ,0.8713305294513702,0.9294189631938934,,,,,,,,,
24,ELIZA,They are always there for me when I need them.,I see.  And what does that tell you?,u ask that? I do n't know Please tell me more. I do n't know I guess I just feel like I 'm not good enough for them. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them., i  guess e ia  what  does  that  mean  you ,0.3597604301240709,0.465307076772054,,,,,,,,,
25,BLENDERBOT,I see.  And what does that tell you?,It tells me that I need to get my life in order and that I am ready for the next step., me more. I do n't know I guess I just feel like I 'm not good enough for them. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. I see.  And what does that tell you?, it  tells  me  that  i  need  to  get  my  life  in  order  and  that  i  am  ready  for  the  next  step ,0.8416655815783001,0.8504784859362102,,,,,,,,,
26,ELIZA,It tells me that I need to get my life in order and that I am ready for the next step.,Very interesting.,hange focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step., very  true ,0.2083042860031128,0.3334379345178604,,,,,,,,,
27,BLENDERBOT,Very interesting.,Yes,.. Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step. Very interesting.,e ,0.0,0.19826851785182953,,,,,,,,,
28,ELIZA,Yes,You seem quite sure.,ell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step. Very interesting. Yes, you  are  very  interesting ,0.2338220223900862,0.6480672564357519,,,,,,,,,
29,BLENDERBOT,You seem quite sure.,Yes it was very interesting.,ily. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure., yes  it  is  very  interesting ,0.4018074063584208,0.624838364124298,,,,,,,,,
30,ELIZA,Yes it was very interesting.,You seem quite sure.,tive. Why do you say that your family is very supportive? They are always there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting., you  seem  quite  sure ,0.682464525103569,0.7500451803207397,,,,,,,,,
31,BLENDERBOT,You seem quite sure.,I had no idea what to expect,that your family is very supportive? They are always there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure., i  have  no  idea  what  to  do ,0.7370008166347232,0.7693267932959965,,,,,,,,,
32,ELIZA,I had no idea what to expect,Please tell me more.,ortive? They are always there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect,.  tell  me . ,0.49628554470837116,0.7374158538877964,,,,,,,,,
