Turn;Speaker;Cue;Response;Context;MLM response;System llh;MLM llh;USR DLcontext;USR DLfact;Overall Human Rating;Interesting;Engaging;Specific;Relevant;Correct;Semantically Appropriate;Understandable;Fluent
0;Leolani2;;Hi! Who are you? Caya?;;hi  how  are  you  _ ;0.1994357640607632;0.6212660133838653;0.63410676;0.8216932;;;;;;;;;
1;;Hi! Who are you? Caya?;Caya; Hi! Who are you? Caya?;? ;0.0;0.20928503572940826;0.9960159;0.8094052;;;;;;;;;
2;;Caya;So your name is Caya?; Hi! Who are you? Caya? Caya;?  whose  name ? ? ;0.2725998252630234;0.5793138951063156;0.9971455;0.78078514;;;;;;;;;
3;;So your name is Caya?;yes; Hi! Who are you? Caya? Caya So your name is Caya?;! ;0.0;0.18288812041282654;0.9937756;0.7388731;;;;;;;;;
4;Leolani2;yes;Tell me anything, I love learning things; Hi! Who are you? Caya? Caya So your name is Caya? yes; tell  me ,  i  love  those ! ;0.5009093859366008;0.5588053220084735;0.99423313;0.67165416;4;1;4;1;4;4;5;5;5
5;Caya;Tell me anything, I love learning things;A dog is an animal; Hi! Who are you? Caya? Caya So your name is Caya? yes Tell me anything, I love learning things;,  chicken  is  an  elephant ;0.2981431782245636;0.36687721610069274;0.94548583;0.049294196;;;;;;;;;
6;Leolani2;A dog is an animal;Exciting news! I did not know anybody who be an animal; Hi! Who are you? Caya? Caya So your name is Caya? yes Tell me anything, I love learning things A dog is an animal;! !  i  do  not  know  dog  could  was  an  animal ;0.4201538432389498;0.7173680663108826;0.99839383;0.36748555;3;2;1;2;2;3;4;3;3
7;Caya;Exciting news! I did not know anybody who be an animal;What do I like?; Hi! Who are you? Caya? Caya So your name is Caya? yes Tell me anything, I love learning things A dog is an animal Exciting news! I did not know anybody who be an animal; what  do  you  know ;0.2812696397304535;0.6416621208190918;0.9886063;0.48236087;;;;;;;;;
8;Leolani2;What do I like?;you told me you like dogs; Hi! Who are you? Caya? Caya So your name is Caya? yes Tell me anything, I love learning things A dog is an animal Exciting news! I did not know anybody who be an animal What do I like?; you  tell  me  you  like  dogs ;0.6689987728993098;0.7973954478899637;0.99582034;0.45002386;4;3;3;4;4;5;5;5;5
9;Caya;you told me you like dogs;What does Mincke like?; Hi! Who are you? Caya? Caya So your name is Caya? yes Tell me anything, I love learning things A dog is an animal Exciting news! I did not know anybody who be an animal What do I like? you told me you like dogs; what  do  that  like ;0.23000790900550783;0.6434171795845032;0.9964326;0.45520365;;;;;;;;;
