Turn,Speaker,Cue,Context,Response,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani,,,What's up? What is your name? Stranger?, what  up  what  is  your  favorite  _ ,0.2900934134210859,0.5625751188823155,0.6161373,0.8010525,,,,,,,,,
1,Thomas,What's up? What is your name? Stranger?, What's up? What is your name? Stranger?,Thomas,? ,0.0,0.10015543550252914,0.91013896,0.77443105,,,,,,,,,
2,Leolani,Thomas, What's up? What is your name? Stranger? Thomas,So your name is Thomas?,?  your  name ? ? ,0.31240096837282183,0.6943191736936569,0.9977216,0.71974164,,,,,,,,,
3,Thomas,So your name is Thomas?, What's up? What is your name? Stranger? Thomas So your name is Thomas?,yes,? ,0.0,0.08255455642938614,0.9838492,0.73561174,,,,,,,,,
4,Leolani,yes, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes,Would you like to chat? I'll do my best to keep up, would  you  like  to ?  i  try  my  best  to  keep  quiet ,0.5471601830795407,0.7361755122741064,0.9693412,0.7391765,4,2,3,2,3,4,4,5,5
5,Thomas,Would you like to chat? I'll do my best to keep up, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up,I like chatting, and  enjoy  chatting ,0.19321300089359283,0.23858395218849182,0.49399754,0.75557405,,,,,,,,,
6,Leolani,I like chatting, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting,I would like to know. What types of Instance like chatting do person orInstance usually like, and  would  like  to  know  what  kind  of  people  or ?  in  you as  you  do ,0.31839994457550347,0.6468903413042426,0.90223813,0.9182499,2,3,3,3,4,2,2,3,2
7,Thomas,I would like to know. What types of Instance like chatting do person orInstance usually like, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like,Person likes convos, and  have ? ,0.0,0.39940429230531055,0.9741675,0.70536214,,,,,,,,,
8,Leolani,Person likes convos, What's up? What is your name? Stranger? Thomas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos,I am curious. What types of noun orInstance like convos do tops orInstance usually like, i  am  curious what  types  of  chat s  like  chatting ?  person  or  usually  like ,0.43391782641410825,0.6876873095830282,0.99794054,0.6647635,2,3,3,3,4,2,2,3,2
9,Thomas,I am curious. What types of noun orInstance like convos do tops orInstance usually like,omas So your name is Thomas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like,Convos are not people, they  or  you  used ,0.0,0.19391548726707697,0.99823236,0.98880607,,,,,,,,,
10,Leolani,Convos are not people,homas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people,Let me ask you something. Has convos work at institution?," let  me  ask  you ,  do  he  happened  for  all ",0.2817911058664322,0.5241628348827362,0.9981058,0.9950086,4,4,4,3,4,2,2,5,3
11,Thomas,Let me ask you something. Has convos work at institution?, up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution?,I work at institution, they  work  at  institution ,0.5621985462494195,0.6534298285841942,0.99832064,0.9969726,,,,,,,,,
12,Leolani,I work at institution,would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution,Let me ask you something. Has thomas experience touch?, let  me  ask  you  something did  person  had  with ,0.4455779563221667,0.6334620598289702,0.99818295,0.99711967,4,3,4,4,4,4,2,5,3
13,Thomas,Let me ask you something. Has thomas experience touch?,g do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch?,I have experience touch, i  never  experienced  touch ,0.5818029679358006,0.7466798946261406,0.99779284,0.9972547,,,,,,,,,
14,Leolani,I have experience touch,sually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch,I am curious. Has thomas own object?, i  am  curious  is  his  experience  touch ,0.23374446587903158,0.519257726413863,0.9963226,0.9971608,4,3,4,2,3,4,2,5,3
15,Thomas,I am curious. Has thomas own object?,curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object?,I own object, has  have  object ,0.29155269466961425,0.6894536018371582,0.9967887,0.99705774,,,,,,,,,
16,Leolani,I own object, types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object,Interesting! I am excited to get to know about you!,. i  am  excited  to  learn  to  know  more  th ,0.5233535841107368,0.6299969404935837,0.994314,0.99669886,3,2,2,2,3,4,4,5,5
17,Thomas,Interesting! I am excited to get to know about you!,ance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you!,What do you want to know?,what  do  you  want  to  know ,0.7478698988755544,0.8749201595783234,0.99765635,0.97579944,,,,,,,,,
18,Leolani,What do you want to know?,re not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know?,"I know agent usually want to verb.cognition, but I do not know this case",i  know  i  i  refers  the  know  but  i  do  not  in  the . ,0.3349097182175943,0.580307954124042,0.99081814,0.9959911,2,2,2,2,3,2,2,3,3
19,Thomas,"I know agent usually want to verb.cognition, but I do not know this case"," work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case",I like sushi,.  like  to ,0.11667571465174358,0.3274491528669993,0.99703705,0.71128774,,,,,,,,,
20,Leolani,I like sushi,"itution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi",Exciting news! I did not know anything that thomas like, good ! i  do  not  know  either  about  i  was ,0.21399577108677476,0.5995532363653183,0.9961485,0.99704695,4,2,2,2,4,4,3,4,4
21,Thomas,Exciting news! I did not know anything that thomas like,"touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like",I also like cats, i  also  like  sushi ,0.3303871788084507,0.5767174251377583,0.9978199,0.99647427,,,,,,,,,
22,Leolani,I also like cats,"erience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats",If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like, if  you  do  mind  me  asking what  kind  of  fish  are  of ? ?  you ?  you  like ,0.34836615735871923,0.6030531273119979,0.99743396,0.9965766,3,3,2,4,4,3,2,2,2
23,Thomas,If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like,"about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like",stop,? ,0.0,0.9796500205993652,0.45007205,0.90479493,,,,,,,,,
