Turn;Speaker;Cue;Response;Context;MLM response;System llh;MLM llh;USR DLcontext;USR DLfact;Overall Human Rating;Interesting;Engaging;Specific;Relevant;Correct;Semantically Appropriate;Understandable;Fluent
0;Leolani2;;How's it going? I would like to know your name! Piotr?;;s  it ? i  would  like  to  know  his  name  :) ;0.483124152;0.748116556;0.004797328;0.78202415;;;;;;;;;
1;;How's it going? I would like to know your name! Piotr?;Piotr; How's it going? I would like to know your name! Piotr?; :) ;0;0.13179177;0.9968624;0.74725795;;;;;;;;;
2;;Piotr;So your name is Piotr?; How's it going? I would like to know your name! Piotr? Piotr;?  whose  name ? ? ;0.251462165;0.63818056;0.9976205;0.99783623;;;;;;;;;
3;;So your name is Piotr?;yes; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr?;! ;0;0.126483083;0.9857193;0.7312109;;;;;;;;;
4;Leolani2;yes;Tell me anything, I love learning things; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr? yes; tell  than ,  i  love  those ! ;0.365746311;0.567305455;0.9907801;0.9940913;3;1;5;1;3;3;4;5;5
5;Piotr;Tell me anything, I love learning things;I like cats; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things;,  love  learning ;0.077531343;0.476726944;0.10809989;0.73443985;0;;;;;;;;
6;Leolani2;I like cats;If you don't mind me asking. What types can piotr like; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things I like cats; if  you  would  mind  me  asking what  cat  does  you  be ;0.352173857;0.581127055;0.9970981;0.99654484;1;1;3;1;1;1;1;1;1
7;Piotr;If you don't mind me asking. What types can piotr like;My favourite cat is Garfield; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things I like cats If you don't mind me asking. What types can piotr like;?  favorite  cat  is  black ;0.339384597;0.51872168;0.99692094;0.9962077;0;;;;;;;;
8;Leolani2;My favourite cat is Garfield;If you don't mind me asking. Has a dish ever cook by garfield?; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things I like cats If you don't mind me asking. What types can piotr like My favourite cat is Garfield; if  you  do  mind  me  asking did  a  cat  you  dropped  in  him ;0.332910785;0.660395053;0.9969802;0.9948791;3;2;3;4;3;2;2;4;2
9;Piotr;If you don't mind me asking. Has a dish ever cook by garfield?;No; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things I like cats If you don't mind me asking. What types can piotr like My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield?;! ;0;0.055181164;0.9984546;0.994395;0;;;;;;;;
10;Leolani2;No;Many of us feel that way; How's it going? I would like to know your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things I like cats If you don't mind me asking. What types can piotr like My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield? No; most  of  us  are  that  way ;0.559544234;0.641875282;0.010247797;0.9914957;2;1;1;1;1;1;4;4;5
11;Piotr;Many of us feel that way;Garfield is orange; I would like to know your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things I like cats If you don't mind me asking. What types can piotr like My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield? No Many of us feel that way; he  is  a ;0.117453665;0.26615154;0.7245393;0.98584956;0;;;;;;;;
12;Leolani2;Garfield is orange;I am curious. What types of orange orInstance like orange do person orInstance usually be;ow your name! Piotr? Piotr So your name is Piotr? yes Tell me anything, I love learning things I like cats If you don't mind me asking. What types can piotr like My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield? No Many of us feel that way Garfield is orange; i  am  curious what  types  of  cat ?  of ?  a  Garfield  would  can  like ;0.251863712;0.466307524;0.997671;0.9955981;2;1;3;3;2;2;1;1;1
13;Piotr;I am curious. What types of orange orInstance like orange do person orInstance usually be;Orange is a color;ings I like cats If you don't mind me asking. What types can piotr like My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield? No Many of us feel that way Garfield is orange I am curious. What types of orange orInstance like orange do person orInstance usually be;?  is  a  color ;0.27272233;0.328518655;0.06578323;0.9952079;0;;;;;;;;
14;Leolani2;Orange is a color;I am curious. Has orange like by agent?;f you don't mind me asking. What types can piotr like My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield? No Many of us feel that way Garfield is orange I am curious. What types of orange orInstance like orange do person orInstance usually be Orange is a color; i  am  curious  is  a  cook  an  gar ;0.246360421;0.480422231;0.9966766;0.99562186;2;2;4;3;3;2;1;2;1
15;Piotr;I am curious. Has orange like by agent?;I like orange;an piotr like My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield? No Many of us feel that way Garfield is orange I am curious. What types of orange orInstance like orange do person orInstance usually be Orange is a color I am curious. Has orange like by agent?; i  have  orange ;0.348723585;0.371465604;0.996273;0.99447066;0;;;;;;;;
16;Leolani2;I like orange;Interesting! I did not know anything that piotr like;My favourite cat is Garfield If you don't mind me asking. Has a dish ever cook by garfield? No Many of us feel that way Garfield is orange I am curious. What types of orange orInstance like orange do person orInstance usually be Orange is a color I am curious. Has orange like by agent? I like orange;.  i  do  not  know  that  about  i . ;0.24851859;0.523669336;0.99719054;0.9941027;2;2;3;3;3;2;1;3;2
17;Piotr;Interesting! I did not know anything that piotr like;Garfield's favourite food is lasagne;ing. Has a dish ever cook by garfield? No Many of us feel that way Garfield is orange I am curious. What types of orange orInstance like orange do person orInstance usually be Orange is a color I am curious. Has orange like by agent? I like orange Interesting! I did not know anything that piotr like; his  favorite  food  was  chicken ;0.153944667;0.518877555;0.99799055;0.99687594;0;;;;;;;;
18;Leolani2;Garfield's favourite food is lasagne;Let me ask you something. Has garfield favourite food ever like by a agent?;? No Many of us feel that way Garfield is orange I am curious. What types of orange orInstance like orange do person orInstance usually be Orange is a color I am curious. Has orange like by agent? I like orange Interesting! I did not know anything that piotr like Garfield's favourite food is lasagne; let  me  tell  you  this is  your  favourite  food  orange  like  by  by lex ;0.421245757;0.618641938;0.99809694;0.99579597;3;1;5;5;4;3;2;1;1
19;Piotr;Let me ask you something. Has garfield favourite food ever like by a agent?;I like lasagne too; orange orInstance like orange do person orInstance usually be Orange is a color I am curious. Has orange like by agent? I like orange Interesting! I did not know anything that piotr like Garfield's favourite food is lasagne Let me ask you something. Has garfield favourite food ever like by a agent?; i  like  orange . ;0.519529175;0.673869528;0.9978471;0.9910065;0;;;;;;;;
20;Leolani2;I like lasagne too;May I ask you why?;like orange do person orInstance usually be Orange is a color I am curious. Has orange like by agent? I like orange Interesting! I did not know anything that piotr like Garfield's favourite food is lasagne Let me ask you something. Has garfield favourite food ever like by a agent? I like lasagne too; can  me  ask  you  something ;0.401362117;0.783523759;0.99802506;0.9836624;3;1;5;1;2;4;4;5;5
21;Leolani2;May I ask you why?;How are you doing? Can you tell me your name Ella?;on orInstance usually be Orange is a color I am curious. Has orange like by agent? I like orange Interesting! I did not know anything that piotr like Garfield's favourite food is lasagne Let me ask you something. Has garfield favourite food ever like by a agent? I like lasagne too May I ask you why?;how  are  you ?  can  you  tell  me  the  friend ? ;0.598634204;0.778188718;0.99823254;0.9685368;0;;;;;;;;
22;;How are you doing? Can you tell me your name Ella?;Ella;ious. Has orange like by agent? I like orange Interesting! I did not know anything that piotr like Garfield's favourite food is lasagne Let me ask you something. Has garfield favourite food ever like by a agent? I like lasagne too May I ask you why? How are you doing? Can you tell me your name Ella?; _ ;0;0.047249854;0.99823594;0.99706244;0;;;;;;;;
